Year,Rank,Company,Revenue (in millions),Profit (in millions)
2009,125,Constellation Energy,"19,818.30","-1,314.40"
2009,126,DirecTV Group,"19,693.00","1,521.00"
2009,127,Goodyear Tire & Rubber,"19,488.00",-77
2009,128,Kimberly-Clark,"19,415.00","1,690.00"
2009,129,U.S. Bancorp,"19,229.00","2,946.00"
2009,130,Amazon.com,"19,166.00",645
2009,131,TJX,"19,147.50",880.6
2009,132,Cigna,"19,101.00",292
2009,133,Whirlpool,"18,907.00",418
2009,134,Exelon,"18,859.00","2,737.00"
2009,135,Massachusetts Mutual Life Insurance,"18,744.60",-923.8
2009,136,Nike,"18,627.00","1,883.40"
2009,137,World Fuel Services,"18,509.40",105
2009,138,Schering-Plough,"18,502.00","1,903.00"
2009,139,J.C. Penney,"18,486.00",572
2009,140,International Assets Holding,"18,358.90",27.8
2009,141,Halliburton,"18,279.00","1,538.00"
2009,142,Burlington Northern Santa Fe,"18,018.00","2,115.00"
2009,143,Union Pacific,"17,970.00","2,338.00"
2009,144,Avnet,"17,952.70",499.1
2009,145,Capital One Financial,"17,868.50",-46
2009,146,Freeport-McMoRan Copper & Gold,"17,796.00","-11,067.00"
2009,147,Xerox,"17,608.00",230
2009,148,Illinois Tool Works,"17,217.90","1,519.00"
2009,149,Southern,"17,127.00","1,742.00"
2009,150,Merrill Lynch,"16,784.00","-27,612.00"
2009,151,Arrow Electronics,"16,761.00",-613.7
2009,152,AFLAC,"16,554.00","1,254.00"
2009,153,Computer Sciences,"16,499.50",544.6
2009,154,FPL Group,"16,410.00","1,639.00"
2009,155,Kohl's,"16,389.00",885
2009,156,Bank of New York Mellon Corp.,"16,355.00","1,419.00"
2009,157,Dominion Resources,"16,290.00","1,834.00"
2009,158,AES,"16,170.00","1,234.00"
2009,159,Oneok,"16,157.40",311.9
2009,160,Altria Group,"15,957.00","4,930.00"
2009,161,PPG Industries,"15,849.00",538
2009,162,Anadarko Petroleum,"15,723.00","3,261.00"
2009,163,Devon Energy,"15,560.00","-2,148.00"
2009,164,Eaton,"15,376.00","1,058.00"
2009,165,Health Net,"15,366.60",95
2009,166,Colgate-Palmolive,"15,329.90","1,957.20"
2009,167,Continental Airlines,"15,241.00",-585
2009,168,Amgen,"15,003.00","4,196.00"
2009,169,TRW Automotive Holdings,"14,995.00",-779
2009,170,Paccar,"14,972.50","1,017.90"
2009,171,L-3 Communications,"14,901.00",949
2009,172,EMC,"14,876.20","1,345.60"
2009,173,Textron,"14,806.00",486
2009,174,Loews,"14,733.00","4,530.00"
2009,175,Navistar International,"14,724.00",134
2009,176,PG&E Corp.,"14,628.00","1,338.00"
2009,177,Viacom,"14,625.00","1,251.00"
2009,178,Gap,"14,526.00",967
2009,179,Office Depot,"14,495.50","-1,478.90"
2009,180,American Electric Power,"14,442.00","1,380.00"
2009,181,Cummins,"14,342.00",755
2009,182,AutoNation,"14,288.00","-1,243.10"
2009,183,Smithfield Foods,"14,264.10",128.9
2009,184,Edison International,"14,112.00","1,215.00"
2009,185,Integrys Energy Group,"14,047.80",126.4
2009,186,CBS,"13,950.40","-11,673.40"
2009,187,Sun Microsystems,"13,880.00",403
2009,188,ConAgra Foods,"13,808.70",930.6
2009,189,Pepsi Bottling,"13,796.00",162
2009,190,Public Service Enterprise Group,"13,741.00","1,188.00"
2009,191,Consolidated Edison,"13,725.90","1,195.70"
2009,192,"Toys R"" Us""","13,724.00",218
2009,193,General Mills,"13,652.10","1,294.70"
2009,194,FirstEnergy,"13,627.00","1,342.00"
2009,195,Lear,"13,570.50",-689.9
2009,196,Medtronic,"13,515.00","2,231.00"
2009,197,Qwest Communications,"13,475.00",681
2009,198,Aramark,"13,470.20",39.5
2009,199,Sara Lee,"13,450.00",-79
2009,200,National Oilwell Varco,"13,431.40","1,952.00"
2009,201,Waste Management,"13,388.00","1,087.00"
2009,202,Omnicom Group,"13,359.90","1,000.30"
2009,203,Chubb,"13,221.00","1,804.00"
2009,204,Duke Energy,"13,212.00","1,362.00"
2009,205,Entergy,"13,093.80","1,220.60"
2009,206,State Street Corp.,"12,922.00","1,811.00"
2009,207,United Services Automobile Association,"12,912.00",422.7
2009,208,Marriott International,"12,880.00",362
2009,209,Progressive,"12,840.10",-70
2009,210,Kellogg,"12,822.00","1,148.00"
2009,211,SunTrust Banks,"12,800.80",795.8
2009,212,Jabil Circuit,"12,779.70",133.9
2009,213,Danaher,"12,697.50","1,317.60"
2009,214,Reliant Energy,"12,553.20",-739.7
2009,215,Texas Instruments,"12,501.00","1,920.00"
2009,216,Dean Foods,"12,454.60",183.8
2009,217,Apache,"12,389.80",712
2009,218,Williams,"12,357.00","1,418.00"
2009,219,Baxter International,"12,348.00","2,014.00"
2009,220,Freddie Mac,"12,302.00","-50,119.00"
2009,221,Parker Hannifin,"12,145.60",949.5
2009,222,US Airways Group,"12,118.00","-2,210.00"
2009,223,Knight,"12,094.80","-3,599.30"
2009,224,Land O'Lakes,"12,039.30",159.6
2009,225,Penske Automotive Group,"11,917.70",-411.9
2009,226,Coventry Health Care,"11,913.60",381.9
2009,227,Baker Hughes,"11,864.00","1,635.00"
2009,228,Circuit City Stores,"11,743.70",-319.9
2009,229,ITT,"11,702.50",794.7
2009,230,Chesapeake Energy,"11,629.00",723
2009,231,DISH Network,"11,617.20",902.9
2009,232,Marsh & McLennan,"11,587.00",-73
2009,233,R.R. Donnelley & Sons,"11,581.60",-189.9
2009,234,KBR,"11,581.00",319
2009,235,Monsanto,"11,579.00","2,024.00"
2009,236,Weyerhaeuser,"11,401.00","-1,176.00"
2009,237,Energy Future Holdings,"11,364.00",-983.8
2009,238,CenterPoint Energy,"11,322.00",447
2009,239,Yum Brands,"11,279.00",964
2009,240,CSX,"11,255.00","1,365.00"
2009,241,Jacobs Engineering Group,"11,252.20",420.7
2009,242,Xcel Energy,"11,203.20",645.6
2009,243,Community Health Systems,"11,156.40",218.3
2009,244,Qualcomm,"11,142.00","3,160.00"
2009,245,American International Group,"11,104.00","-99,289.00"
2009,246,Southwest Airlines,"11,023.00",178
2009,247,Genuine Parts,"11,015.30",475.4
2009,248,Air Products & Chemicals,"10,938.60",909.7
2009,249,Praxair,"10,796.00","1,211.00"
2009,250,Smith International,"10,770.80",767.3
2009,251,Commercial Metals,"10,764.60",232
2009,252,Sempra Energy,"10,758.00","1,113.00"
2009,253,Western Refining,"10,725.60",64.2
2009,254,Pepco Holdings,"10,700.00",300
2009,255,Avon Products,"10,690.10",875.3
2009,256,Norfolk Southern,"10,661.00","1,716.00"
2009,257,Liberty Global,"10,561.10",-788.9
2009,258,Thermo Fisher Scientific,"10,498.00",994.2
2009,259,Dollar General,"10,457.70",108.2
2009,260,BB&T Corp.,"10,404.00","1,519.00"
2009,261,Starbucks,"10,383.00",315.5
2009,262,Huntsman,"10,215.00",609
2009,263,Harrah's Entertainment,"10,127.00","-5,197.20"
2009,264,URS,"10,086.30",219.8
2009,265,Liberty Media,"10,084.00","3,479.00"
2009,266,SAIC,"10,078.00",452
2009,267,H.J. Heinz,"10,070.80",844.9
2009,268,Enbridge Energy Partners,"10,060.00",403.2
2009,269,BJ's Wholesale Club,"10,027.40",134.6
2009,270,Unum Group,"9,982.30",553.2
2009,271,Genworth Financial,"9,948.00",-572
2009,272,Calpine,"9,937.00",10
2009,273,Principal Financial,"9,935.90",458.1
2009,274,Lincoln National,"9,905.00",57
2009,275,Terex,"9,889.60",71.9
2009,276,Mosaic,"9,812.60","2,082.80"
2009,277,Masco,"9,700.00",-391
2009,278,PNC Financial Services Group,"9,680.00",882
2009,279,Guardian Life Ins. Co. of America,"9,675.00",409.1
2009,280,Regions Financial,"9,636.60","-5,595.80"
2009,281,Rohm & Haas,"9,575.00",482
2009,282,Visteon,"9,544.00",-681
2009,283,Tenet Healthcare,"9,494.00",25
2009,284,Eastman Kodak,"9,416.00",-442
2009,285,DTE Energy,"9,336.00",546
2009,286,Energy Transfer Equity,"9,293.40",375
2009,287,Hartford Financial Services,"9,219.00","-2,749.00"
2009,288,Progress Energy,"9,186.00",830
2009,289,NiSource,"9,069.50",79
2009,290,Limited Brands,"9,043.00",220
2009,291,Global Partners,"9,019.10",21.1
2009,292,Sanmina-SCI,"9,004.90",-486.3
2009,293,YRC Worldwide,"8,940.40",-974.4
2009,294,Reynolds American,"8,845.00","1,338.00"
2009,295,First Data,"8,811.30","-3,764.30"
2009,296,GameStop,"8,805.90",398.3
2009,297,Automatic Data Processing,"8,776.50","1,235.70"
2009,298,Reliance Steel & Aluminum,"8,718.80",482.8
2009,299,Assurant,"8,601.20",447.8
2009,300,C.H. Robinson Worldwide,"8,578.60",359.2
2009,301,Nordstrom,"8,573.00",401
2009,302,Fifth Third Bancorp,"8,554.00","-2,113.00"
2009,303,eBay,"8,541.30","1,779.50"
2009,304,Pilgrim's Pride,"8,525.10",-998.6
2009,305,Hertz Global Holdings,"8,525.10","-1,206.70"
2009,306,AGCO,"8,424.60",400
2009,307,Aon,"8,406.00","1,462.00"
2009,308,Centex,"8,405.70","-2,657.50"
2009,309,Campbell Soup,"8,391.00","1,165.00"
2009,310,Ashland,"8,381.00",167
2009,311,CarMax,"8,318.80",182
2009,312,Crown Holdings,"8,305.00",226
2009,313,OfficeMax,"8,267.00","-1,657.90"
2009,314,PPL,"8,206.00",930
2009,315,Applied Materials,"8,129.20",960.7
2009,316,Dana Holding,"8,101.00",18
2009,317,Pantry,"8,088.60",31.8
2009,318,Steel Dynamics,"8,080.50",463.4
2009,319,Western Digital,"8,074.00",867
2009,320,Boston Scientific,"8,050.00","-2,036.00"
2009,321,Peter Kiewit Sons',"8,012.00",552
2009,322,Sherwin-Williams,"7,979.70",476.9
2009,323,Targa Resources,"7,970.20",52.9
2009,324,Whole Foods Market,"7,953.90",114.5
2009,325,Est?e Lauder,"7,910.80",473.8
2009,326,Owens-Illinois,"7,884.70",258.3
2009,327,Ameren,"7,839.00",605
2009,328,Synnex,"7,768.20",83.8
2009,329,Dole Food,"7,732.40",121
2009,330,XTO Energy,"7,695.00","1,912.00"
2009,331,SLM,"7,689.40",-212.6
2009,332,TravelCenters of America,"7,658.40",-40.2
2009,333,Dover,"7,653.00",590.8
2009,334,AK Steel Holding,"7,644.30",4
2009,335,VF,"7,642.60",602.7
2009,336,Ball,"7,561.50",319.5
2009,337,Sonic Automotive,"7,488.00",-685.9
2009,338,Virgin Media,"7,439.90","-1,692.90"
2009,339,Owens & Minor,"7,337.60",93.3
2009,340,Winn-Dixie Stores,"7,281.40",12.8
2009,341,Quest Diagnostics,"7,249.40",581.5
2009,342,Cablevision Systems,"7,230.10",-227.6
2009,343,Atmos Energy,"7,221.30",180.3
2009,344,MGM Mirage,"7,208.80",-855.3
2009,345,Yahoo,"7,208.50",424.3
2009,346,ArvinMeritor,"7,174.00",-101
2009,347,Becton Dickinson,"7,158.50","1,127.00"
2009,348,Ameriprise Financial,"7,149.00",-38
2009,349,Oshkosh,"7,138.30",79.3
2009,350,EOG Resources,"7,127.10","2,436.90"
2009,351,Fortune Brands,"7,105.10",311.1
2009,352,Discover Financial Services,"7,088.00",927.8
2009,353,Peabody Energy,"7,074.00",953.5
2009,354,Goodrich,"7,061.70",681.2
2009,355,Bed Bath & Beyond,"7,048.90",562.8
2009,356,Smurfit-Stone Container,"7,042.00","-2,818.00"
2009,357,Shaw Group,"6,998.00",140.7
2009,358,Dillard's,"6,988.40",-241.1
2009,359,Family Dollar Stores,"6,983.60",233.1
2009,360,Great Atlantic & Pacific Tea,"6,963.80",-160.7
2009,361,Interpublic Group,"6,962.70",295
2009,362,Precision Castparts,"6,916.40",987.3
2009,363,NRG Energy,"6,905.00","1,188.00"
2009,364,Eastman Chemical,"6,895.00",346
